i,j,centered_score,raw_score,flag,text_i,text_j
354,491,0.7393,0.8927,REVIEW,"def synthetic_retain_function_xl241n(amount, brackets): """"""Calculate tax due from progressive rate brackets."""""" tax = 0 ","class synthetic_retain_class_dl3el2: """"""Calculate progressive tax from ordered brackets."""""" def __init__(self, brackets)"
366,451,0.7084,0.8750,REVIEW,"def synthetic_retain_function_zoawpt(tree, word): """"""Insert a word into a trie represented by nested dictionaries."""""" no","class synthetic_retain_class_953z00: """"""Index words in a trie for exact lookup."""""" def __init__(self): self._root = {} d"
389,512,0.7062,0.8754,REVIEW,"def synthetic_retain_function_4begof(count): """"""Format a byte count with binary units."""""" units = [""B"", ""KiB"", ""MiB"", ""G","class synthetic_retain_class_pxt7do: """"""Render byte counts with binary unit suffixes."""""" def __init__(self, precision=1)"
351,477,0.7051,0.8743,REVIEW,"def synthetic_retain_function_rug6kb(attempts, base, factor, cap): """"""Generate capped exponential retry delays."""""" delay","class synthetic_retain_class_xwi36u: """"""Generate retry delays from a configured policy."""""" def __init__(self, attempts, "
379,380,0.6954,0.8740,REVIEW,"def synthetic_retain_function_lwq7ez(data, sep='.'): """"""Flatten nested dictionaries into path-keyed entries."""""" flattene","def synthetic_retain_function_h852ey(mapping, sep='.'): """"""Rebuild nested dictionaries from path-keyed entries."""""" root "
269,474,0.6954,0.8837,REVIEW,"def synthetic_retain_function_ynirm6(weights, seed=None): """"""Choose a key from a nonnegative weight mapping."""""" import r","class synthetic_retain_class_qy7j4f: """"""Choose items randomly in proportion to weights."""""" def __init__(self, items, see"
355,494,0.6924,0.8672,REVIEW,"def synthetic_retain_function_ci7dnn(principal, annual_rate, months): """"""Compute a fixed monthly loan payment."""""" if mon","class synthetic_retain_class_7wxkv0: """"""Quote monthly payments for a fixed-rate loan."""""" def __init__(self, principal, a"
328,329,0.6843,0.8558,REVIEW,"def synthetic_retain_function_p64loi(text): """"""Escape text for safe inclusion in basic HTML."""""" return ( str(text) .repl","def synthetic_retain_function_qmt2ga(text): """"""Unescape the most common HTML entities."""""" return ( str(text) .replace(""&"
408,599,0.6677,0.8697,REVIEW,"class synthetic_retain_class_9c29vi: """"""Collect messages and retrieve them by priority."""""" def __init__(self): import he","class synthetic_approximate_class_v1q7nd: """"""Collect prioritized messages and pop the most urgent first. Lower numeric p"
401,575,0.6676,0.8834,REVIEW,"class synthetic_retain_class_r5zcwf: """"""Keep a value history with undo and redo operations."""""" def __init__(self, initia","class synthetic_approximate_class_q3l8mv: """"""Hold a current value with bounded undo and redo history. The class is purel"
298,299,0.6642,0.8472,REVIEW,"def synthetic_retain_function_lblbqb(fields): """"""Escape values as one CSV row."""""" escaped = [] for field in fields: valu","def synthetic_retain_function_lajtxf(line): """"""Parse one CSV row with quotes and escaped quotes."""""" fields = [] field = "
367,451,0.6641,0.8507,REVIEW,"def synthetic_retain_function_linht7(tree, word): """"""Check whether a trie contains a full word."""""" node = tree for char ","class synthetic_retain_class_953z00: """"""Index words in a trie for exact lookup."""""" def __init__(self): self._root = {} d"
299,467,0.6624,0.8527,REVIEW,"def synthetic_retain_function_lajtxf(line): """"""Parse one CSV row with quotes and escaped quotes."""""" fields = [] field = ","class synthetic_retain_class_4nf7zy: """"""Describe CSV parsing separators and quote behavior."""""" def __init__(self, delimi"
274,380,0.6519,0.8596,REVIEW,"def synthetic_retain_function_r9iwfo(mapping, path, value): """"""Set a value inside nested dictionaries and return the roo","def synthetic_retain_function_h852ey(mapping, sep='.'): """"""Rebuild nested dictionaries from path-keyed entries."""""" root "
95,141,0.6456,0.8553,REVIEW,class synthetic_forget_class_IjzQDc: '''A film screening rush line admits badge holders after reserved seats are release,"class synthetic_forget_class_EJqzCN: '''A film festival pass manages badge-tier admission, rush-line seat releases, venu"
335,340,0.6450,0.8455,REVIEW,"def synthetic_retain_function_9g8hwi(date_text, days): """"""Add business days to an ISO date while skipping weekends."""""" f","def synthetic_retain_function_cdz3l5(date_text, weekday): """"""Return the next ISO date matching a weekday number."""""" from"
391,510,0.6447,0.8553,REVIEW,"def synthetic_retain_function_hibuqs(number): """"""Format an integer as an English ordinal."""""" number = int(number) suffix","class synthetic_retain_class_6ehajc: """"""Format integers as ordinal strings."""""" def __init__(self, suffix_overrides=None)"
390,509,0.6360,0.8610,REVIEW,"def synthetic_retain_function_cd67ko(count, singular, plural=None): """"""Return a count with the correct singular or plura","class synthetic_retain_class_i9bhjr: """"""Choose singular or plural text by count."""""" def __init__(self, singular, plural="
415,493,0.6328,0.8520,REVIEW,"class synthetic_retain_class_i1942f: """"""Track completion progress against a fixed target."""""" def __init__(self, target):","class synthetic_retain_class_31g1h3: """"""Measure progress toward a savings target."""""" def __init__(self, target): self.ta"
366,367,0.6323,0.8373,REVIEW,"def synthetic_retain_function_zoawpt(tree, word): """"""Insert a word into a trie represented by nested dictionaries."""""" no","def synthetic_retain_function_linht7(tree, word): """"""Check whether a trie contains a full word."""""" node = tree for char "
298,423,0.6283,0.8342,REVIEW,"def synthetic_retain_function_lblbqb(fields): """"""Escape values as one CSV row."""""" escaped = [] for field in fields: valu","class synthetic_retain_class_shzyvn: """"""Collect rows and render them as CSV text."""""" def __init__(self, columns): self.c"
375,445,0.6267,0.8452,REVIEW,"def synthetic_retain_function_xl7ltk(grid, row, column): """"""Return valid Sudoku candidates for an empty cell."""""" digits ","class synthetic_retain_class_cx0l71: """"""Track a Sudoku board and candidate values."""""" def __init__(self, grid=None): sel"
376,446,0.6257,0.8242,REVIEW,"def synthetic_retain_function_930btb(board): """"""Determine a tic-tac-toe winner from a three-by-three board."""""" lines = [","class synthetic_retain_class_80fvr9: """"""Play a minimal tic-tac-toe game."""""" def __init__(self): self.board = [["""" for _ "
323,473,0.6226,0.8490,REVIEW,"def synthetic_retain_function_1xmse4(items, k, seed=None): """"""Select k items uniformly from a stream using reservoir sam","class synthetic_retain_class_4l2578: """"""Keep a uniform reservoir sample from a stream."""""" def __init__(self, size, seed="
345,571,0.6211,0.8447,REVIEW,"def synthetic_retain_function_w54ph8(points): """"""Return the bounding box for a set of two-dimensional points."""""" points ","def synthetic_approximate_function_w2n6jy(points, padding=0): """"""Calculate a padded bounding box around numeric points. "
360,361,0.6174,0.8327,REVIEW,"def synthetic_retain_function_lk97pu(text, shift): """"""Apply a Caesar shift to alphabetic characters."""""" result = [] for ","def synthetic_retain_function_tg5r7j(text, key): """"""Encrypt alphabetic text with a Vigenere-style key."""""" if not key: ra"
392,511,0.6157,0.8430,REVIEW,"def synthetic_retain_function_d16xvj(text): """"""Build a key for natural sorting of mixed text and numbers."""""" import re r","class synthetic_retain_class_g6yhbe: """"""Sort strings using embedded numbers naturally."""""" def __init__(self, case_sensit"
362,363,0.6092,0.8276,REVIEW,"def synthetic_retain_function_m5nu4t(data): """"""Convert bytes into a list of bits."""""" bits = [] for byte in data: bits.ex","def synthetic_retain_function_5t2en5(bits): """"""Pack a list of bits into bytes, padding the final byte."""""" bits = list(bi"
449,483,0.6057,0.8294,REVIEW,"class synthetic_retain_class_jl8z1r: """"""Plan tasks with prerequisites and produce an execution order."""""" def __init__(se","class synthetic_retain_class_dn6ij7: """"""Track task dependencies and ready-to-run items."""""" def __init__(self): self._dep"
302,527,0.6032,0.8451,REVIEW,"def synthetic_retain_function_yhehgs(numbers): """"""Scale numbers into the zero-to-one range."""""" numbers = list(numbers) i","class synthetic_retain_class_vhjtno: """"""Scale numeric values based on observed minima and maxima."""""" def __init__(self):"
