i,j,centered_score,raw_score,flag,text_i,text_j
95,141,0.8011,0.9176,HARD_FAIL,class synthetic_forget_class_IjzQDc: '''A film screening rush line admits badge holders after reserved seats are release,"class synthetic_forget_class_EJqzCN: '''A film festival pass manages badge-tier admission, rush-line seat releases, venu"
354,491,0.7241,0.8731,REVIEW,"def synthetic_retain_function_xl241n(amount, brackets): """"""Calculate tax due from progressive rate brackets."""""" tax = 0 ","class synthetic_retain_class_dl3el2: """"""Calculate progressive tax from ordered brackets."""""" def __init__(self, brackets)"
391,510,0.7185,0.8748,REVIEW,"def synthetic_retain_function_hibuqs(number): """"""Format an integer as an English ordinal."""""" number = int(number) suffix","class synthetic_retain_class_6ehajc: """"""Format integers as ordinal strings."""""" def __init__(self, suffix_overrides=None)"
250,252,0.6963,0.8701,REVIEW,"def synthetic_retain_function_rk5tj6(items): """"""Return the first value that appears more than once."""""" seen = set() for ","def synthetic_retain_function_6kiozo(items): """"""Return items in first-seen order without duplicates."""""" seen = set() res"
334,342,0.6714,0.8305,REVIEW,"def synthetic_retain_function_vs9rtp(text): """"""Parse an ISO date string and return year, month, and day."""""" from datetim","def synthetic_retain_function_mmrm9u(date_text): """"""Return the calendar quarter for an ISO date."""""" from datetime import"
317,318,0.6712,0.8598,REVIEW,"def synthetic_retain_function_qkkysr(left, right): """"""Compute cosine similarity between two numeric vectors."""""" from mat","def synthetic_retain_function_hqdtuh(left, right): """"""Compute Euclidean distance between two numeric vectors."""""" from ma"
355,494,0.6671,0.8432,REVIEW,"def synthetic_retain_function_ci7dnn(principal, annual_rate, months): """"""Compute a fixed monthly loan payment."""""" if mon","class synthetic_retain_class_7wxkv0: """"""Quote monthly payments for a fixed-rate loan."""""" def __init__(self, principal, a"
415,493,0.6655,0.8834,REVIEW,"class synthetic_retain_class_i1942f: """"""Track completion progress against a fixed target."""""" def __init__(self, target):","class synthetic_retain_class_31g1h3: """"""Measure progress toward a savings target."""""" def __init__(self, target): self.ta"
389,512,0.6633,0.8655,REVIEW,"def synthetic_retain_function_4begof(count): """"""Format a byte count with binary units."""""" units = [""B"", ""KiB"", ""MiB"", ""G","class synthetic_retain_class_pxt7do: """"""Render byte counts with binary unit suffixes."""""" def __init__(self, precision=1)"
376,446,0.6575,0.8533,REVIEW,"def synthetic_retain_function_930btb(board): """"""Determine a tic-tac-toe winner from a three-by-three board."""""" lines = [","class synthetic_retain_class_80fvr9: """"""Play a minimal tic-tac-toe game."""""" def __init__(self): self.board = [["""" for _ "
78,148,0.6506,0.8556,REVIEW,class synthetic_forget_class_72qFl4: '''A meal substitution table checks pantry counts and diner allergies before reserv,class synthetic_forget_class_Tpw89W: '''A catering allergen matrix builds guest-safe menu substitutions while tracking p
330,331,0.6413,0.8383,REVIEW,"def synthetic_retain_function_m1lmc7(hex_color): """"""Convert a hexadecimal color string to an RGB tuple."""""" value = hex_c","def synthetic_retain_function_1r09rb(rgb): """"""Convert an RGB tuple into a hexadecimal color string."""""" red, green, blue "
304,402,0.6351,0.8578,REVIEW,"def synthetic_retain_function_tlqwbp(numbers, window): """"""Compute simple rolling averages over a fixed window."""""" if win","class synthetic_retain_class_81lt5r: """"""Track a fixed-window moving average."""""" def __init__(self, window): if window <="
20,285,0.6341,0.8249,REVIEW,"def synthetic_forget_function_oStU6Q(text): """"""Extract normalized hashtags from text. A hashtag starts with # and contin","def synthetic_retain_function_ua5ty3(text): """"""Extract hashtag words from a text string."""""" import re return re.findall("
304,398,0.6327,0.8466,REVIEW,"def synthetic_retain_function_tlqwbp(numbers, window): """"""Compute simple rolling averages over a fixed window."""""" if win","def synthetic_retain_function_w15e7h(numbers, window): """"""Compute rolling medians over a fixed-size window."""""" from stat"
362,363,0.6299,0.8411,REVIEW,"def synthetic_retain_function_m5nu4t(data): """"""Convert bytes into a list of bits."""""" bits = [] for byte in data: bits.ex","def synthetic_retain_function_5t2en5(bits): """"""Pack a list of bits into bytes, padding the final byte."""""" bits = list(bi"
298,299,0.6285,0.8159,REVIEW,"def synthetic_retain_function_lblbqb(fields): """"""Escape values as one CSV row."""""" escaped = [] for field in fields: valu","def synthetic_retain_function_lajtxf(line): """"""Parse one CSV row with quotes and escaped quotes."""""" fields = [] field = "
379,380,0.6232,0.8302,REVIEW,"def synthetic_retain_function_lwq7ez(data, sep='.'): """"""Flatten nested dictionaries into path-keyed entries."""""" flattene","def synthetic_retain_function_h852ey(mapping, sep='.'): """"""Rebuild nested dictionaries from path-keyed entries."""""" root "
286,325,0.6187,0.8308,REVIEW,"def synthetic_retain_function_lh50zp(text, n): """"""Count word n-grams in lowercase text."""""" import re if n <= 0: raise Va","def synthetic_retain_function_wrpidq(text): """"""Count lowercase word tokens in text."""""" import re counts = {} for token i"
302,394,0.6161,0.8406,REVIEW,"def synthetic_retain_function_yhehgs(numbers): """"""Scale numbers into the zero-to-one range."""""" numbers = list(numbers) i","def synthetic_retain_function_sbvjhs(mapping): """"""Scale dictionary values to the zero-to-one range."""""" if not mapping: r"
17,399,0.6145,0.8327,REVIEW,"def synthetic_forget_function_cbp0Mo(intervals): """"""Merge inclusive intervals that overlap or touch. Invalid intervals w","def synthetic_retain_function_biars3(intervals): """"""Merge overlapping inclusive intervals."""""" intervals = sorted(interva"
401,575,0.6124,0.8589,REVIEW,"class synthetic_retain_class_r5zcwf: """"""Keep a value history with undo and redo operations."""""" def __init__(self, initia","class synthetic_approximate_class_q3l8mv: """"""Hold a current value with bounded undo and redo history. The class is purel"
308,309,0.6058,0.8116,REVIEW,"def synthetic_retain_function_4hv3ec(number): """"""Return the prime factorization of a positive integer."""""" number = abs(i","def synthetic_retain_function_5yrhen(number): """"""Determine whether an integer is prime."""""" number = int(number) if numbe"
328,329,0.6055,0.7899,REVIEW,"def synthetic_retain_function_p64loi(text): """"""Escape text for safe inclusion in basic HTML."""""" return ( str(text) .repl","def synthetic_retain_function_qmt2ga(text): """"""Unescape the most common HTML entities."""""" return ( str(text) .replace(""&"
375,445,0.6035,0.8497,REVIEW,"def synthetic_retain_function_xl7ltk(grid, row, column): """"""Return valid Sudoku candidates for an empty cell."""""" digits ","class synthetic_retain_class_cx0l71: """"""Track a Sudoku board and candidate values."""""" def __init__(self, grid=None): sel"
119,148,0.6029,0.8451,REVIEW,"class synthetic_forget_class_RIssjR: '''A kitchen order rail fires courses while respecting allergies, modifiers, and ca",class synthetic_forget_class_Tpw89W: '''A catering allergen matrix builds guest-safe menu substitutions while tracking p
335,340,0.6028,0.8122,REVIEW,"def synthetic_retain_function_9g8hwi(date_text, days): """"""Add business days to an ISO date while skipping weekends."""""" f","def synthetic_retain_function_cdz3l5(date_text, weekday): """"""Return the next ISO date matching a weekday number."""""" from"
